tokenId,category,special,animal,name,powerValue1,powerValue2,powerValue3,displayValue1,displayValue2,displayValue2,presale,oldId
986,water,0,Scleropages Jardinii,UNU#986 Scleropages Jardinii,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,986
987,water,0,Siberian Sturgeon,UNU#987 Siberian Sturgeon,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,987
988,water,0,Silonia Silondia,UNU#988 Silonia Silondia,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,988
989,water,0,Silurus Soldatovi,UNU#989 Silurus Soldatovi,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,989
990,water,0,Silver Arowana,UNU#990 Silver Arowana,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,990
991,water,0,Chinese Perch (Siniperca Chuatsi),UNU#991 Chinese Perch (Siniperca Chuatsi),Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,991
992,water,0,Smallmouth Buffalo,UNU#992 Smallmouth Buffalo,Generosity,Clarity,Grace & Beauty,World,Diamond - Lotus,-,,992
993,water,0,Smallmouth Yellowfish,UNU#993 Smallmouth Yellowfish,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,993
994,water,0,Sockeye Salmon,UNU#994 Sockeye Salmon,Curiosity,Freedom,Trust,Questionmark,-,Bag,,994
995,water,0,Sperata Seenghala,UNU#995 Sperata Seenghala,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,995
996,water,0,Spotted Galaxias,UNU#996 Spotted Galaxias,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,996
997,water,0,Squalius Cephalus,UNU#997 Squalius Cephalus,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,997
998,water,0,Sterlet,UNU#998 Sterlet,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Sunglasses,,998
999,water,0,Atlantic Sturgeon,UNU#999 Atlantic Sturgeon,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,999
1000,water,0,Sakhalin Taimen,UNU#1000 Sakhalin Taimen,Self,Creativity,Authenticity,Eye,Brush,Bag,,1000
1001,water,0,Tambaqui,UNU#1001 Tambaqui,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1001
1002,water,0,Tench,UNU#1002 Tench,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,1002
1003,water,0,Texas Cichlid,UNU#1003 Texas Cichlid,Curiosity,Health,Fun,Questionmark,Cross,Instrument - Note,,1003
1004,water,0,Tiger Muskellunge,UNU#1004 Tiger Muskellunge,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1004
1005,water,0,Tor Putitora,UNU#1005 Tor Putitora,Health,Freedom,Confidence,Cross,Wings & Fins,Crown-Hat,,1005
1006,water,0,Tor Tor,UNU#1006 Tor Tor,Freedom,Creativity,Kindness,-,Brush,Rose,,1006
1007,water,0,Dolly Varden Trout,UNU#1007 Dolly Varden Trout,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,1007
1008,water,0,Vundu,UNU#1008 Vundu,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,1,1008
1009,water,1,Wallago Attu,UNU#1009 Wallago Attu,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1009
1010,water,0,Antarctic Toothfish,UNU#1010 Antarctic Toothfish,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,1010
1011,water,0,Warmouth,UNU#1011 Warmouth,Peace,Kindness,Freedom,Coin,Rose,Wings & Fins,,1011
1012,water,0,Wels Catfish,UNU#1012 Wels Catfish,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1012
1013,water,0,White Bass,UNU#1013 White Bass,Curiosity,Fun,Health,Questionmark,Instrument - Note,Cross,,1013
1014,water,0,White Crappie,UNU#1014 White Crappie,Creativity,Bravery,Authenticity,Brush,Armour,Bag,,1014
1015,water,0,White Perch,UNU#1015 White Perch,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,1015
1016,water,0,White Sturgeon,UNU#1016 White Sturgeon,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,1016
1017,water,0,Yellow Bass,UNU#1017 Yellow Bass,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,1017
1018,water,0,Yellow Bullhead,UNU#1018 Yellow Bullhead,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,1018
1019,water,0,Clanwilliam Yellowfish,UNU#1019 Clanwilliam Yellowfish,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,1019
1020,water,1,Zander,UNU#1020 Zander,Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,1020
1021,water,0,African Glass Catfish,UNU#1021 African Glass Catfish,Curiosity,Freedom,Trust,Questionmark,-,Bag,,1021
1022,water,0,African Lungfish,UNU#1022 African Lungfish,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,1022
1023,water,0,Aholehole,UNU#1023 Aholehole,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,1023
1024,water,0,Airbreathing Catfish,UNU#1024 Airbreathing Catfish,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,1024
1025,water,0,Airsac Catfish,UNU#1025 Airsac Catfish,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Sunglasses,,1025
1026,water,0,Alaska Blackfish,UNU#1026 Alaska Blackfish,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,1026
1027,water,0,Spotted Surubim,UNU#1027 Spotted Surubim,Self,Creativity,Authenticity,Eye,Brush,Bag,,1027
1028,water,0,Alewife,UNU#1028 Alewife,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1028
1029,water,0,Alfonsino,UNU#1029 Alfonsino,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,1029
1030,water,0,Algae Eater,UNU#1030 Algae Eater,Curiosity,Health,Fun,Questionmark,Cross,Instrument - Note,,1030
1031,water,0,Alligatorfish,UNU#1031 Alligatorfish,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1031
1032,water,1,European Catfish,UNU#1032 European Catfish,Health,Bravery,Confidence,Cross,Armour,Crown-Hat,,1032
1033,water,0,Amberjack,UNU#1033 Amberjack,Freedom,Creativity,Kindness,-,Brush,Rose,,1033
1034,water,0,American Sole,UNU#1034 American Sole,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,1034
1035,water,0,Amur Pike,UNU#1035 Amur Pike,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1035
1036,water,0,Anchovy,UNU#1036 Anchovy,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1036
1037,water,0,Anemonefish,UNU#1037 Anemonefish,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,1037
1038,water,0,Angelfish,UNU#1038 Angelfish,Peace,Kindness,Calm & Balance,Coin,Rose,Ying Yang,,1038
1039,water,0,Angler,UNU#1039 Angler,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1039
1040,water,0,Angler Catfish,UNU#1040 Angler Catfish,Curiosity,Fun,Health,Questionmark,Instrument - Note,Cross,,1040
1041,water,0,Anglerfish,UNU#1041 Anglerfish,Creativity,Bravery,Decency,Brush,Armour,Lantern,,1041
1042,water,0,Patagonian Toothfish,UNU#1042 Patagonian Toothfish,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,1042
1043,water,0,Antarctic Icefish,UNU#1043 Antarctic Icefish,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,1043
1044,water,0,Antenna Codlet,UNU#1044 Antenna Codlet,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,1044
1045,water,0,Arapaima Gigas,UNU#1045 Arapaima Gigas,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,1045
1046,water,0,Archerfish,UNU#1046 Archerfish,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,1046
1047,water,0,Arctic Char,UNU#1047 Arctic Char,Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,1047
1048,water,0,Armored Gurnard,UNU#1048 Armored Gurnard,Generosity,Clarity,Grace & Beauty,World,Diamond - Lotus,-,,1048
1049,water,0,Armored Searobin,UNU#1049 Armored Searobin,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1049
1050,water,0,Armorhead,UNU#1050 Armorhead,Curiosity,Freedom,Trust,Questionmark,-,Bag,,1050
1051,water,0,Armorhead Catfish,UNU#1051 Armorhead Catfish,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,1051
1052,water,0,Armoured Catfish,UNU#1052 Armoured Catfish,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,1052
1053,water,1,Black Arowana,UNU#1053 Black Arowana,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,1053
1054,water,0,Arrowtooth Eel,UNU#1054 Arrowtooth Eel,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Sunglasses,,1054
1055,water,0,Asian Carps,UNU#1055 Asian Carps,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,1055
1056,water,0,Asiatic Glassfish,UNU#1056 Asiatic Glassfish,Self,Creativity,Authenticity,Eye,Brush,Bag,,1056
1057,water,0,Atka Mackerel,UNU#1057 Atka Mackerel,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1057
1058,water,0,Atlantic Bonito,UNU#1058 Atlantic Bonito,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,1058
1059,water,0,Atlantic Cod,UNU#1059 Atlantic Cod,Curiosity,Health,Generosity,Questionmark,Cross,World,,1059
1060,water,0,Atlantic Herring,UNU#1060 Atlantic Herring,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1060
1061,water,0,Atlantic Salmon,UNU#1061 Atlantic Salmon,Health,Generosity,Confidence,Cross,World,Crown-Hat,,1061
1062,water,0,Atlantic Sharpnose Shark,UNU#1062 Atlantic Sharpnose Shark,Freedom,Creativity,Kindness,-,Brush,Rose,,1062
1063,water,0,Atlantic Saury,UNU#1063 Atlantic Saury,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,1063
1064,water,0,Atlantic Silverside,UNU#1064 Atlantic Silverside,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1064
1065,water,0,Australasian Salmon,UNU#1065 Australasian Salmon,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1065
1066,water,0,Australian Grayling,UNU#1066 Australian Grayling,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,1066
1067,water,0,Australian Herring,UNU#1067 Australian Herring,Peace,Kindness,Freedom,Coin,Rose,Wings & Fins,,1067
1068,water,0,Australian Lungfish,UNU#1068 Australian Lungfish,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1068
1069,water,0,Australian Prowfish,UNU#1069 Australian Prowfish,Curiosity,Fun,Health,Questionmark,Instrument - Note,Cross,,1069
1070,water,0,Peale's Dolphin,UNU#1070 Peale's Dolphin,Creativity,Bravery,Authenticity,Brush,Armour,Laurel,,1070
1071,water,0,Greenland Shark,UNU#1071 Greenland Shark,Strength,Decency,Calm & Balance,Laser,Lantern,Ying Yang,,1071
1072,water,0,Baikal Oilfish,UNU#1072 Baikal Oilfish,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,1072
1073,water,0,Bala Shark,UNU#1073 Bala Shark,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,1073
1074,water,0,Ballan Wrasse,UNU#1074 Ballan Wrasse,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,1074
1075,water,0,Bamboo Shark,UNU#1075 Bamboo Shark,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,1075
1076,water,0,Banded Killifish,UNU#1076 Banded Killifish,Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,1076
1077,water,0,Bandfish,UNU#1077 Bandfish,Generosity,Clarity,Grace & Beauty,World,Diamond - Lotus,-,,1077
1078,water,0,Banjo,UNU#1078 Banjo,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1078
1079,water,0,Bangus,UNU#1079 Bangus,Curiosity,Freedom,Trust,Questionmark,-,Bag,,1079
1080,water,0,Banjo Catfish,UNU#1080 Banjo Catfish,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,1080
1081,water,0,Tinfoil Barb,UNU#1081 Tinfoil Barb,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,1081
1082,water,0,Barbel,UNU#1082 Barbel,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,1082
1083,water,0,Barbeled Dragonfish,UNU#1083 Barbeled Dragonfish,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Sunglasses,,1083
1084,water,0,Indo-Pacific Humpback Dolphin,UNU#1084 Indo-Pacific Humpback Dolphin,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,1084
1085,water,0,Clymene Dolphin,UNU#1085 Clymene Dolphin,Self,Creativity,Authenticity,Eye,Brush,Bag,,1085
1086,water,0,Barfish,UNU#1086 Barfish,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1086
1087,water,0,Pickhandle Barracuda,UNU#1087 Pickhandle Barracuda,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,1087
1088,water,1,Spinner Dolphin,UNU#1088 Spinner Dolphin,Curiosity,Health,Fun,Questionmark,Cross,Instrument - Note,,1088
1089,water,0,Barracudina,UNU#1089 Barracudina,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1089
1090,water,0,Barramundi,UNU#1090 Barramundi,Health,Generosity,Confidence,Cross,World,Crown-Hat,,1090
1091,water,0,Barred Danio,UNU#1091 Barred Danio,Freedom,Creativity,Kindness,-,Brush,Rose,,1091
1092,water,0,Barreleye,UNU#1092 Barreleye,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,1092
1093,water,0,Basking Shark,UNU#1093 Basking Shark,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1093
1094,water,0,Choctaw Bass,UNU#1094 Choctaw Bass,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1094
1095,water,0,Basslet,UNU#1095 Basslet,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,1095
1096,water,0,Batfish,UNU#1096 Batfish,Peace,Kindness,Freedom,Coin,Rose,Wings & Fins,,1096
1097,water,0,Bat Ray,UNU#1097 Bat Ray,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1097
1098,water,0,Beachsalmon,UNU#1098 Beachsalmon,Curiosity,Fun,Health,Questionmark,Instrument - Note,Cross,,1098
1099,water,0,Beaked Salmon,UNU#1099 Beaked Salmon,Creativity,Bravery,Authenticity,Brush,Armour,Laurel,,1099
1100,water,0,Beaked Sandfish,UNU#1100 Beaked Sandfish,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,1100
1101,water,0,Beardfish,UNU#1101 Beardfish,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,1101
1102,water,0,Trumpet Snail,UNU#1102 Trumpet Snail,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,1102
1103,water,0,Bengal Danio,UNU#1103 Bengal Danio,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,1103
1104,water,0,Betta,UNU#1104 Betta,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,1104
1105,water,0,Labyrin,UNU#1105 Labyrin,Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,1105
1106,water,0,Bicolor Goat Fish,UNU#1106 Bicolor Goat Fish,Generosity,Clarity,Grace & Beauty,World,Diamond - Lotus,-,,1106
1107,water,0,Bigeye,UNU#1107 Bigeye,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1107
1108,water,0,Bigeye Squaretail,UNU#1108 Bigeye Squaretail,Curiosity,Freedom,Trust,Questionmark,-,Bag,,1108
1109,water,0,Bighead Carp,UNU#1109 Bighead Carp,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,1109
1110,water,0,Bigmouth Buffalo,UNU#1110 Bigmouth Buffalo,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,1110
1111,water,0,Bigscale,UNU#1111 Bigscale,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,1111
1112,water,0,Red River Giant Softshell Turtle,UNU#1112 Red River Giant Softshell Turtle,Curiosity,Generosity,Self,Questionmark,World,Sunglasses,,1112
1113,water,0,Billfish,UNU#1113 Billfish,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,1113
1114,water,0,Bitterling,UNU#1114 Bitterling,Self,Creativity,Authenticity,Eye,Brush,Bag,,1114
1115,water,0,Black Angelfish,UNU#1115 Black Angelfish,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1115
1116,water,0,Black Bass,UNU#1116 Black Bass,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,1116
1117,water,0,Black Dragonfish,UNU#1117 Black Dragonfish,Curiosity,Health,Fun,Questionmark,Cross,Instrument - Note,,1117
1118,land,0,Map Turtle,UNU#1118 Map Turtle,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1118
1119,water,0,Blackfin Tuna,UNU#1119 Blackfin Tuna,Health,Freedom,Confidence,Cross,Wings & Fins,Crown-Hat,,1119
1120,water,0,Tautog (Black Fish),UNU#1120 Tautog (Black Fish),Freedom,Creativity,Kindness,-,Brush,Rose,,1120
1121,water,0,Black Neon Tetra,UNU#1121 Black Neon Tetra,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,1121
1122,water,0,Blacktip Reef Shark,UNU#1122 Blacktip Reef Shark,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1122
1123,water,1,King Mackerel,UNU#1123 King Mackerel,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1123
1124,water,0,Black Scalyfin,UNU#1124 Black Scalyfin,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,1124
1125,water,0,Black Sea Bass,UNU#1125 Black Sea Bass,Peace,Kindness,Freedom,Coin,Rose,Wings & Fins,,1125
1126,land,0,Western Painted Turtle,UNU#1126 Western Painted Turtle,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1126
1127,land,0,Eastern Box Turtle,UNU#1127 Eastern Box Turtle,Curiosity,Fun,Health,Questionmark,Instrument - Note,Cross,,1127
1128,water,0,Black Tetra,UNU#1128 Black Tetra,Creativity,Bravery,Authenticity,Brush,Armour,Laurel,,1128
1129,water,0,Black Triggerfish,UNU#1129 Black Triggerfish,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,1129
1130,water,0,Bleak,UNU#1130 Bleak,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,1130
1131,water,0,Blenny,UNU#1131 Blenny,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,1131
1132,land,0,African Sideneck Turtle,UNU#1132 African Sideneck Turtle,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,1132
1133,water,0,Blind Shark,UNU#1133 Blind Shark,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,1133
1134,water,0,Blobfish,UNU#1134 Blobfish,Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,1134
1135,water,0,Tetraodon,UNU#1135 Tetraodon,Generosity,Clarity,Grace & Beauty,World,Diamond - Lotus,-,,1135
1136,water,0,Blue Catfish,UNU#1136 Blue Catfish,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1136
1137,water,0,Blue Danio,UNU#1137 Blue Danio,Curiosity,Freedom,Trust,Questionmark,-,Bag,,1137
1138,water,0,Blue-red Stripe Danio,UNU#1138 Blue-red Stripe Danio,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,1138
1139,land,0,Leopard Tortoise,UNU#1139 Leopard Tortoise,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,1139
1140,water,0,Bluefin Tuna,UNU#1140 Bluefin Tuna,Generosity,Curiosity,Authenticity,World,Questionmark,Bag,,1140
1141,water,0,Bluefish,UNU#1141 Bluefish,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Sunglasses,,1141
1142,water,0,Bluegill,UNU#1142 Bluegill,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,1142
1143,water,0,Blue Gourami,UNU#1143 Blue Gourami,Self,Creativity,Authenticity,Eye,Brush,Bag,,1143
1144,water,0,Blue Shark,UNU#1144 Blue Shark,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1144
1145,water,0,Blue Triggerfish,UNU#1145 Blue Triggerfish,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,1145
1146,water,0,Blue Whiting,UNU#1146 Blue Whiting,Curiosity,Health,Fun,Questionmark,Cross,Instrument - Note,,1146
1147,water,0,Bluntnose Knifefish,UNU#1147 Bluntnose Knifefish,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1147
1148,water,0,Bluntnose Minnow,UNU#1148 Bluntnose Minnow,Health,Freedom,Confidence,Cross,Wings & Fins,Crown-Hat,,1148
1149,water,0,Boafish,UNU#1149 Boafish,Freedom,Creativity,Kindness,-,Brush,Rose,,1149
1150,air,0,Ciconia,UNU#1150 Ciconia,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,1150
1151,water,0,Bobtail Snipe Eel,UNU#1151 Bobtail Snipe Eel,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1151
1152,water,0,Bocaccio,UNU#1152 Bocaccio,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1152
1153,land,0,Indian Star Tortoise,UNU#1153 Indian Star Tortoise,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,1153
1154,water,0,Assassin Snails,UNU#1154 Assassin Snails,Peace,Kindness,Freedom,Coin,Rose,Wings & Fins,,1154
1155,water,0,Bonefish,UNU#1155 Bonefish,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1155
1156,water,0,Painted Stork,UNU#1156 Painted Stork,Curiosity,Fun,Health,Questionmark,Instrument - Note,Cross,,1156
1157,water,0,Bonnethead Shark,UNU#1157 Bonnethead Shark,Creativity,Bravery,Authenticity,Brush,Armour,Laurel,,1157
1158,land,0,Milk Snail,UNU#1158 Milk Snail,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,1158
1159,water,0,Bonytail,UNU#1159 Bonytail,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,1159
1160,water,0,Bonytongue,UNU#1160 Bonytongue,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,1160
1161,water,0,Bowfin,UNU#1161 Bowfin,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,1161
1162,water,0,Boxfish,UNU#1162 Boxfish,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,1162
1163,water,0,Bramble Shark,UNU#1163 Bramble Shark,Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,1163
1164,water,0,Bream,UNU#1164 Bream,Generosity,Clarity,Grace & Beauty,World,Diamond - Lotus,-,,1164
1165,water,0,Choriaster Starfish,UNU#1165 Choriaster Starfish,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1165
1166,water,0,Bristlemouth,UNU#1166 Bristlemouth,Curiosity,Freedom,Trust,Questionmark,-,Bag,,1166
1167,water,0,Bristlenose Catfish,UNU#1167 Bristlenose Catfish,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,1167
1168,water,0,Crown-of-thorns Starfish,UNU#1168 Crown-of-thorns Starfish,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,1168
1169,water,0,Bronze Corydoras,UNU#1169 Bronze Corydoras,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,1169
1170,water,0,Brook Lamprey,UNU#1170 Brook Lamprey,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Sunglasses,,1170
1171,water,0,Brook Stickleback,UNU#1171 Brook Stickleback,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,1171
1172,water,0,Brook Trout,UNU#1172 Brook Trout,Self,Creativity,Authenticity,Eye,Brush,Bag,,1172
1173,water,0,Brotula,UNU#1173 Brotula,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1173
1174,water,0,River Trout,UNU#1174 River Trout,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,1174
1175,water,0,Buffalo Fish,UNU#1175 Buffalo Fish,Curiosity,Health,Fun,Questionmark,Cross,Instrument - Note,,1175
1176,water,0,Bullhead,UNU#1176 Bullhead,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,1176
1177,water,0,Bullhead Shark,UNU#1177 Bullhead Shark,Health,Freedom,Confidence,Cross,Wings & Fins,Crown-Hat,,1177
1178,water,0,Bull Shark,UNU#1178 Bull Shark,Freedom,Creativity,self,Wings & Fins,Brush,Eye,,1178
1179,water,0,Bull Trout,UNU#1179 Bull Trout,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,1179
1180,water,0,Lota Lota,UNU#1180 Lota Lota,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1180
1181,water,0,Bumblebee Goby,UNU#1181 Bumblebee Goby,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,1181
1182,air,0,Conure Parrot,UNU#1182 Conure Parrot,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,1182
1183,water,0,Burma Danio,UNU#1183 Burma Danio,Peace,Kindness,Freedom,Coin,Rose,Wings & Fins,,1183
1184,air,0,Amazon Parrots,UNU#1184 Amazon Parrots,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,1184
1185,water,0,Silver Pomfret (Butterfish),UNU#1185 Silver Pomfret (Butterfish),Curiosity,Generosity,Health,Questionmark,world,Cross,,1185
1186,water,0,Butterfly Ray,UNU#1186 Butterfly Ray,Creativity,Bravery,Authenticity,Brush,Armour,Laurel,,1186
1187,water,0,Butterflyfish,UNU#1187 Butterflyfish,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,1187
1188,water,0,Cauliflower Jellyfish Cephea Cephea,UNU#1188 Cauliflower Jellyfish Cephea Cephea,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,1188
1189,air,0,Parakeet,UNU#1189 Parakeet,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,1189
